2017-03-16 15:15:25

Douban books top 250, reordered. 
Total number: 250

ID, original order, rating, votes, title
01812439, 159, 8.1, 033914, 步步惊心
01082518, 096, 7.9, 048907, 麦田里的守望者
02053249, 121, 8.0, 040110, 麦田里的守望者
04124727, 164, 8.1, 033189, 孤独六讲
01082349, 220, 8.2, 026385, 长恨歌
01022238, 224, 8.2, 025695, 菊与刀
01958227, 227, 8.2, 025515, 那些年，我们一起追的女孩
01030052, 106, 7.9, 044552, 清醒纪
01228110, 233, 8.2, 024986, 天使与魔鬼
04872671, 232, 8.2, 024969, 佛祖在一号线
01962929, 150, 8.0, 035392, 佳期如梦
02256438, 091, 7.8, 050981, 素年锦时
04874131, 200, 8.1, 028326, 东霓
04238754, 163, 8.0, 033385, 失恋33天
02243213, 122, 7.9, 040449, 山楂树之恋
10763902, 126, 7.9, 039989, 偷影子的人
01065970, 099, 7.8, 048093, 彼岸花
26340138, 087, 7.7, 055190, 岛上书店
01005521, 231, 8.1, 025243, 伊豆的舞女
02250587, 056, 7.6, 068099, 一个人的好天气
04074636, 057, 7.6, 067582, 放学后
24934182, 249, 8.1, 024578, 一个人的朝圣
01794620, 112, 7.8, 043375, 芒果街上的小屋
01465324, 090, 7.7, 051928, 洛丽塔
01975797, 053, 8.9, 006723, Harry Potter and the Deathly Hallows
01039752, 127, 7.8, 039961, 且听风吟
01063190, 216, 8.0, 027147, 蔷薇岛屿
01026425, 027, 7.4, 093598, 三重门
04011440, 229, 8.0, 025621, 最初的爱情 最后的仪式
01016300, 012, 7.2, 143769, 梦里花落知多少
01917972, 140, 7.8, 037451, 在路上
01926103, 240, 8.0, 025006, 鬼吹灯之云南虫谷
02339950, 176, 7.8, 032658, 被窝是青春的坟墓
26278687, 185, 7.8, 031385, 皮囊
01049219, 051, 7.4, 072181, 长安乱
01018153, 190, 7.8, 030509, 水仙已乘鲤鱼去
04953695, 242, 7.9, 025104, 拆掉思维里的墙
02331434, 144, 7.7, 036953, 原来你还在这里
04010969, 194, 7.8, 030092, 当我们谈论爱情时我们在谈论什么
01058234, 158, 7.7, 035364, 二三事
01049189, 059, 7.4, 067134, 1995-2005夏至未至
01013502, 129, 7.6, 040174, 钢铁是怎样炼成的
03394338, 100, 7.5, 049571, 他的国
01926700, 181, 7.7, 032427, 关于莉莉周的一切
03616310, 138, 7.6, 039191, 小团圆
01227838, 139, 7.6, 038759, 年华是无效信
01029159, 104, 7.5, 047541, 八月未央
04009552, 155, 7.6, 036531, 幻夜
02139305, 204, 7.7, 029172, 巴别塔之犬
01024217, 094, 7.4, 051889, 第一次的亲密接触
01453210, 097, 7.4, 050754, 一座城池
05502995, 183, 7.6, 031809, 1Q84 BOOK 3
01016523, 153, 7.5, 036839, 告别薇安
25747921, 054, 7.2, 071998, 从你的全世界路过
01703544, 160, 7.5, 035827, 兄弟（下）
01059406, 035, 7.1, 088031, 幻城
03506871, 228, 7.6, 026737, 曾有一个人，爱我如生命
02382705, 236, 7.6, 026071, 不朽
25984204, 198, 7.5, 030067, 乖，摸摸头
04113090, 179, 7.4, 033678, 我们台湾这些年
01856285, 128, 7.3, 041643, 人生若只如初见
02081876, 148, 7.3, 038383, 货币战争
05317075, 110, 7.2, 046915, 蔡康永的说话之道
01009160, 173, 7.3, 034845, 像少年啦飞驰
01034108, 172, 7.2, 035314, 零下一度
03323987, 234, 7.3, 027000, 杜拉拉2华年似水
03266968, 238, 7.3, 026728, 秘密
01915536, 246, 7.3, 026496, 尘埃星球
01007334, 213, 7.2, 029473, 草样年华
01469051, 168, 7.1, 035920, 左耳
01021056, 223, 7.2, 028179, 谁动了我的奶酪？
01596305, 135, 7.0, 041233, 泡沫之夏
03191328, 088, 6.7, 058855, 小时代1.0折纸时代
01291760, 137, 6.8, 042282, 会有天使替我爱你
01006881, 171, 6.7, 037295, 左手倒影，右手年华。
02062200, 049, 6.3, 081953, 悲伤逆流成河
04038164, 195, 6.5, 033752, 小时代2.0虚铜时代
